04,13,12,13,13,12,13,12,13,13,12,13,12,13,13,12,13,05
15,02,20,21,02,20,21,02,03,03,02,20,21,02,20,21,02,15
14,00,22,23,01,22,23,01,00,00,01,22,23,01,22,23,00,14
15,00,00,00,00,00,00,00,24,25,00,00,00,00,00,00,00,15
14,00,02,02,02,02,02,00,30,31,00,02,02,02,02,02,00,14
15,00,01,01,01,01,01,00,33,35,00,01,01,01,01,01,00,15
14,00,02,02,02,00,02,02,00,00,02,02,00,02,02,02,00,14
15,00,01,01,01,00,01,01,00,00,01,01,00,01,01,01,00,15
14,00,02,00,02,02,02,00,02,02,00,02,02,02,00,02,00,14
15,00,01,00,01,01,01,00,01,01,00,01,01,01,00,01,00,15
10,13,12,13,13,12,13,12,00,00,12,13,12,13,13,12,13,11
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
